"gene_symbol" "FPKM" "count"
"DDX11L1" 0.0580746 2
"WASH7P" 5.85774 218
"MIR6859-1" 53.7768 0
"OR4F5" 0 0
"LOC729737" 1.34225 168
"OR4F16" 0 0
"MIR6723" 148903 6871
"OR4F29" 0 0
"LOC100288069" 2.3408 65
"FAM87B" 0.241722 10
"LINC00115" 0.226531 6
"LINC01128" 2.42158 252
"FAM41C" 0.95184 34
"LOC100130417" 0 0
"SAMD11" 0.125337 7
"NOC2L" 27.1037 1499
"KLHL17" 0.802326 45
"PLEKHN1" 5.54199 287
"PERM1" 1.83789 132
"HES4" 1.8094 33
"ISG15" 64.6216 713
"AGRN" 13.1087 2217
"RNF223" 3.52279 77
"C1orf159" 1.85973 84
"LINC01342" 0 0
"MIR200B" 0 0
"MIR200A" 41.7426 2
"MIR429" 0 0
"TTLL10" 0.0614162 3
"TNFRSF18" 8.59843 199
"TNFRSF4" 3.03307 65
"SDF4" 45.9469 1988
"B3GALT6" 6.95946 428
"FAM132A" 2.00176 40
"UBE2J2" 19.923 976
"SCNN1D" 1.19107 78
"ACAP3" 11.4146 962
"MIR6726" 0 0
"PUSL1" 13.3827 329
"CPSF3L" 21.3161 966
"MIR6727" 125.485 2
"GLTPD1" 17.9567 849
"TAS1R3" 0.0893364 5
"DVL1" 14.9461 964
"MIR6808" 0 0
"MXRA8" 15.8609 789
"AURKAIP1" 69.6903 1088
"CCNL2" 12.8887 616
"LOC148413" 5.93726 217
"MRPL20" 92.2855 1114
"ANKRD65" 5.81347 204
"TMEM88B" 1.15889 8
"VWA1" 8.86376 937
"ATAD3C" 1.04806 91
"ATAD3B" 3.98284 211
"ATAD3A" 9.95839 520
"TMEM240" 0.552003 12
"SSU72" 71.6521 1874
"C1orf233" 10.0197 449
"MIB2" 10.1134 691
"MMP23B" 2.70639 21
"CDK11B" 10.8015 577
"CDK11A" 7.27801 310
"SLC35E2B" 9.95812 1384
"MMP23A" 3.88514 65
"SLC35E2" 5.99689 776
"NADK" 14.5241 1035
"GNB1" 85.7741 6069
"CALML6" 0.0468182 1
"TMEM52" 2.33791 41
"KIAA1751" 0.289646 31
"GABRD" 0.073316 3
"PRKCZ" 5.7497 284
"C1orf86" 23.4533 398
"SKI" 19.8633 2596
"MORN1" 0.936292 32
"LOC100129534" 0.432224 21
"RER1" 31.1298 2145
"PEX10" 12.3166 296
"PLCH2" 3.69859 407
"PANK4" 4.81546 279
"HES5" 0.686359 18
"LOC115110" 0.33571 16
"LOC100133445" 0.829488 15
"TNFRSF14" 13.6897 449
"FAM213B" 7.42962 449
"MMEL1" 1.52862 10
"TTC34" 0 0
"ACTRT2" 0 0
"LINC00982" 0.100535 3
"PRDM16" 0.114459 23
"MIR4251" 0 0
"ARHGEF16" 2.93028 188
"MEGF6" 6.32689 1085
"MIR551A" 0 0
